disease,drug
MIM601682,D00652
MIM215140,D00656
MIM104300,D00670
MIM125320,D00670
MIM605055,D00670
MIM157300,D00675
MIM157300,D00680
MIM208550,D00684
MIM600807,D00684
MIM208550,D00685
MIM210050,D00685
MIM600807,D00685
MIM208550,D00691
MIM210050,D00691
MIM600807,D00691
MIM217200,D00708
MIM239350,D00708
MIM217200,D00709
MIM239350,D00709
MIM300491,D00709
MIM600131,D00709
MIM604827,D00709
MIM607628,D00709
MIM607631,D00709
MIM607681,D00709
MIM607682,D00709
MIM608105,D00709
MIM109350,D00726
MIM157300,D00726
MIM147530,D00732
MIM147530,D00733
MIM246300,D00754
MIM254500,D00754
MIM171300,D00762
MIM125310,D00769
MIM540000,D00769
MIM601367,D00769
MIM147530,D00771
MIM125320,D00779
MIM168100,D00779
MIM168100,D00781
MIM168600,D00781
MIM168100,D00786
MIM168600,D00786
MIM181500,D00788
MIM164230,D00811
MIM167870,D00811
MIM131300,D00823
MIM164230,D00823
MIM167870,D00823
MIM181500,D00823
MIM252320,D00823
MIM607499,D00823
MIM147530,D00837
MIM147530,D00842
MIM114580,D00882
MIM212050,D00882
MIM144010,D00893
MIM601367,D00893
MIM166760,D00917
MIM208550,D00917
MIM102500,D00939
MIM150600,D00939
MIM166710,D00939
MIM167320,D00939
MIM602080,D00939
MIM102400,D00941
MIM102500,D00941
MIM114480,D00941
MIM143880,D00941
MIM166300,D00941
MIM166710,D00941
MIM167320,D00941
MIM254500,D00941
MIM276300,D00941
MIM102500,D00942
MIM166710,D00942
MIM167320,D00942
MIM602080,D00942
MIM131200,D00950
MIM184700,D00950
MIM192000,D00950
MIM102500,D00951
MIM131200,D00951
MIM144700,D00951
MIM192000,D00951
MIM605839,D00951
MIM109100,D00952
MIM114480,D00952
MIM192000,D00952
MIM114480,D00960
MIM174800,D00960
MIM176807,D00961
MIM270960,D00962
MIM114480,D00963
MIM114480,D00964
MIM114480,D00966
MIM174800,D00966
MIM140600,D00968
MIM147530,D00968
MIM165720,D00968
MIM208230,D00968
MIM607459,D00968
MIM607850,D00968
MIM133690,D00969
MIM140600,D00969
MIM165720,D00969
MIM208230,D00969
MIM607459,D00969
MIM607850,D00969
MIM600634,D00987
MIM109350,D01000
MIM157950,D01000
MIM191800,D01000
MIM254200,D01001
MIM127350,D01108
MIM189800,D01108
MIM217200,D01108
MIM239350,D01108
MIM248190,D01108
MIM125850,D01111
MIM125851,D01111
MIM125853,D01111
MIM600496,D01111
MIM604416,D01112
MIM134430,D01136
MIM134500,D01136
MIM134510,D01136
MIM134520,D01136
MIM227300,D01136
MIM114480,D01161
MIM164230,D01164
MIM181500,D01164
MIM109350,D01167
MIM190310,D01167
MIM147530,D01179
MIM165199,D01179
MIM206200,D01194
MIM161900,D01204
MIM608622,D01204
MIM114480,D01223
MIM114500,D01223
MIM137215,D01223
MIM144700,D01223
MIM176807,D01223
MIM276300,D01223
MIM161900,D01227
MIM178600,D01227
MIM109100,D01276
MIM145500,D01302
MIM161900,D01302
MIM608622,D01302
MIM109800,D01363
MIM133239,D01363
MIM259500,D01363
MIM276300,D01363
MIM114580,D01364
MIM125600,D01364
MIM278200,D01367
MIM109543,D01370
MIM126200,D01370
MIM151400,D01370
MIM258360,D01370
MIM276300,D01370
MIM131440,D01441
MIM247640,D01441
MIM276300,D01441
MIM607685,D01441
MIM608088,D01481
MIM125853,D01599
MIM147530,D01692
MIM200170,D01692
MIM600082,D01692
MIM208550,D01703
MIM208550,D01708
MIM600807,D01708
MIM233810,D01820
MIM603165,D01825
MIM107650,D01832
MIM126200,D01832
MIM136200,D01832
MIM143465,D01832
MIM188050,D01844
MIM109543,D01907
MIM151400,D01907
MIM223350,D01907
MIM236000,D01907
MIM247640,D01907
MIM267730,D01907
MIM276300,D01907
MIM144010,D01915
MIM137750,D01964
MIM137760,D01964
MIM161900,D01964
MIM601682,D01964
MIM102500,D01968
MIM143880,D01968
MIM167320,D01968
MIM254500,D01968
MIM276300,D01968
MIM602080,D01968
MIM605839,D01968
MIM157300,D01973
MIM300125,D01973
MIM607498,D01973
MIM607501,D01973
MIM607508,D01973
MIM607516,D01973
MIM161900,D02008
MIM178600,D02008
MIM115000,D02066
MIM208550,D02066
MIM600807,D02066
MIM137750,D02076
MIM137760,D02076
MIM161900,D02076
MIM601682,D02076
MIM276300,D02106
MIM208550,D02147
MIM600807,D02147
MIM114480,D02165
MIM137215,D02165
MIM155600,D02165
MIM155601,D02165
MIM176807,D02165
MIM276300,D02165
MIM212140,D02176
MIM208550,D02212
MIM210050,D02212
MIM600807,D02212
MIM161900,D02229
MIM178600,D02229
MIM161900,D02237
MIM608622,D02237
MIM167320,D02285
MIM602080,D02285
MIM600803,D02299
MIM145590,D02327
MIM147540,D02327
MIM104300,D02331
MIM125320,D02331
MIM200170,D02331
MIM230450,D02331
MIM231900,D02331
MIM266120,D02331
MIM277460,D02331
MIM605055,D02331
MIM606703,D02331
MIM161900,D02338
MIM608622,D02338
MIM181500,D02340
MIM147530,D02341
MIM110100,D02342
MIM157700,D02342
MIM125310,D02347
MIM126200,D02347
MIM145600,D02347
MIM154276,D02347
MIM217150,D02347
MIM238800,D02347
MIM540000,D02347
MIM601042,D02347
MIM601367,D02347
MIM607225,D02347
MIM137750,D02349
MIM137760,D02349
MIM161900,D02349
MIM601682,D02349
MIM140600,D02355
MIM165720,D02355
MIM208230,D02355
MIM607459,D02355
MIM607850,D02355
MIM115000,D02356
MIM115195,D02356
MIM157300,D02356
MIM161900,D02356
MIM200170,D02356
MIM607554,D02356
MIM608583,D02356
MIM608622,D02356
MIM110100,D02358
MIM157700,D02358
MIM161900,D02358
MIM190300,D02358
MIM607554,D02358
MIM608583,D02358
MIM608622,D02358
MIM131300,D02360
MIM164230,D02360
MIM167870,D02360
MIM252320,D02360
MIM131300,D02362
MIM164230,D02362
MIM167870,D02362
MIM252320,D02362
MIM181000,D02366
MIM131200,D02367
MIM184700,D02367
MIM192000,D02367
MIM114480,D02368
MIM144700,D02368
MIM605839,D02368
MIM137750,D02374
MIM137760,D02374
MIM601682,D02374
MIM113610,D02437
MIM218200,D02437
MIM312910,D02437
MIM106400,D02500
MIM168100,D02562
MIM168600,D02562
MIM181500,D02671
MIM109800,D02697
MIM109543,D02698
MIM182280,D02698
MIM223350,D02698
MIM236000,D02698
MIM247640,D02698
MIM267730,D02698
MIM140600,D02709
MIM165720,D02709
MIM208230,D02709
MIM607459,D02709
MIM607850,D02709
MIM144700,D02714
MIM605839,D02714
MIM102300,D02716
MIM147530,D02716
MIM165199,D02716
MIM145500,D02721
MIM161900,D02721
MIM178600,D02721
MIM608622,D02721
MIM137750,D02724
MIM137760,D02724
MIM161900,D02724
MIM601682,D02724
MIM194200,D02769
MIM103780,D02780
MIM148000,D02815
MIM157300,D02824
MIM115000,D02910
MIM188050,D02980
MIM220120,D02982
MIM247200,D03021
MIM258360,D03021
MIM601004,D03021
MIM604416,D03034
MIM254400,D03106
MIM276300,D03106
MIM254500,D03150
MIM168100,D03165
MIM145590,D03182
MIM157300,D03182
MIM145500,D03208
MIM161900,D03208
MIM608622,D03208
MIM133239,D03327
MIM247640,D03546
MIM140600,D03580
MIM145590,D03580
MIM608088,D03580
MIM145590,D03621
MIM223350,D03658
MIM247640,D03658
MIM276300,D03658
MIM247200,D03665
MIM601004,D03665
MIM155100,D03674
MIM188050,D03674
MIM231200,D03674
MIM273800,D03674
MIM233810,D03696
MIM233810,D03697
MIM208750,D03730
MIM212112,D03730
MIM212130,D03730
MIM212350,D03730
MIM225740,D03730
MIM226000,D03730
MIM305300,D03730
MIM136200,D03740
MIM143465,D03740
MIM145590,D03742
MIM608088,D03742
MIM146255,D03752
MIM161900,D03752
MIM608622,D03752
MIM125310,D03753
MIM146255,D03753
MIM608320,D03753
MIM104300,D03822
MIM125320,D03822
MIM168100,D03822
MIM605055,D03822
MIM145590,D03858
MIM156000,D03858
MIM109800,D03899
MIM114480,D03899
MIM137215,D03899
MIM188470,D03899
MIM194070,D03899
MIM211980,D03899
MIM236000,D03899
MIM247640,D03899
MIM254500,D03899
MIM256700,D03899
MIM259500,D03899
MIM268220,D03899
MIM276300,D03899
MIM601626,D03899
MIM184700,D03917
MIM604416,D03917
MIM114480,D04024
MIM276300,D04024
MIM264120,D04028
MIM303110,D04028
MIM601665,D04028
MIM161900,D04040
MIM608622,D04040
MIM176807,D04066
MIM601518,D04066
MIM102500,D04070
MIM114480,D04070
MIM176807,D04070
MIM192000,D04070
MIM215470,D04070
MIM311360,D04070
MIM601518,D04070
MIM104300,D04292
MIM125320,D04292
MIM605055,D04292
MIM126200,D04318
MIM140600,D04334
MIM165720,D04334
MIM208230,D04334
MIM607459,D04334
MIM607850,D04334
MIM145590,D04370
MIM233810,D04409
MIM102500,D04486
MIM166710,D04486
MIM208550,D04625
MIM210050,D04625
MIM600807,D04625
MIM254500,D04687
MIM106400,D04862
MIM109543,D04931
MIM151400,D04931
MIM191390,D04931
MIM247640,D04931
MIM266600,D04931
MIM125850,D04966
MIM125851,D04966
MIM125853,D04966
MIM176800,D04966
MIM184700,D04966
MIM600496,D04966
MIM143465,D04999
MIM230800,D05032
MIM604416,D05045
MIM103780,D05113
MIM110100,D05127
MIM157700,D05127
MIM161900,D05127
MIM608622,D05127
MIM208550,D05129
MIM600807,D05129
MIM131200,D05209
MIM192000,D05209
MIM604416,D05209
MIM147530,D05312
MIM181500,D05339
MIM115300,D05341
MIM277350,D05341
MIM109350,D05353
MIM190310,D05353
MIM600263,D05353
MIM147530,D05428
MIM264120,D05458
MIM303110,D05458
MIM601665,D05458
MIM233810,D05480
MIM603165,D05480
MIM208550,D05792
MIM600807,D05792
MIM236000,D05932
MIM155600,D06067
MIM155601,D06067
MIM276300,D06067
MIM144700,D06068
MIM605839,D06068
MIM102500,D06078
MIM166710,D06078
MIM606842,D06078
MIM601626,D06109
MIM161900,D06213
MIM178600,D06213
MIM109100,D06238
MIM254400,D06320
MIM276300,D06320
MIM144700,D06402
MIM605839,D06402
MIM192200,D06882
MIM260570,D07129
MIM147530,D07132
MIM115000,D07425
MIM179600,D07425
MIM260570,D07425
MIM119500,D07441
MIM126200,D07441
MIM168100,D07441
MIM264120,D07444
MIM601665,D07444
MIM143465,D07445
MIM161900,D07447
MIM208300,D07447
MIM215140,D07447
MIM608622,D07447
MIM144110,D07448
MIM147530,D07448
MIM252320,D07448
MIM125310,D07450
MIM145500,D07450
MIM161900,D07450
MIM179600,D07450
MIM608320,D07450
MIM608622,D07450
MIM607554,D07457
MIM168100,D07460
MIM168600,D07460
MIM276300,D07472
MIM143465,D07473
MIM144010,D07474
MIM266600,D07488
MIM208550,D07495
MIM600807,D07495
MIM146255,D07499
MIM161900,D07499
MIM608622,D07499
MIM125310,D07510
MIM540000,D07510
MIM601367,D07510
MIM125320,D07511
MIM168100,D07511
MIM168600,D07511
MIM264120,D07514
MIM303110,D07514
MIM601665,D07514
MIM161900,D07520
MIM608622,D07520
MIM137750,D07526
MIM161900,D07526
MIM608622,D07526
MIM109543,D07535
MIM155600,D07535
MIM155601,D07535
MIM236000,D07535
MIM247640,D07535
MIM267730,D07535
MIM273300,D07535
MIM115645,D07541
MIM212350,D07541
MIM145590,D07547
MIM147530,D07552
MIM143465,D07591
MIM167870,D07591
MIM264120,D07591
MIM104130,D07593
MIM156190,D07593
MIM165150,D07593
MIM167870,D07593
MIM259050,D07593
MIM300232,D07593
MIM137750,D07624
MIM161900,D07624
MIM608622,D07624
MIM140600,D07690
MIM147530,D07690
MIM165720,D07690
MIM208230,D07690
MIM607459,D07690
MIM607850,D07690
MIM103780,D07704
MIM131300,D07704
MIM164230,D07704
MIM167870,D07704
MIM182830,D07704
MIM225740,D07704
MIM225755,D07704
MIM260970,D07704
MIM608033,D07704
MIM125600,D07715
MIM151590,D07715
MIM191390,D07753
MIM208550,D07753
MIM600807,D07753
MIM147530,D07758
MIM157300,D07758
MIM160750,D07758
MIM200170,D07758
MIM601042,D07758
MIM113610,D07765
MIM147540,D07765
MIM157300,D07765
MIM181500,D07765
MIM218200,D07765
MIM300125,D07765
MIM312910,D07765
MIM606703,D07765
MIM606798,D07765
MIM148000,D07776
MIM223350,D07776
MIM247640,D07776
MIM276300,D07776
MIM601626,D07776
MIM143465,D07791
MIM147530,D07791
MIM147530,D07809
MIM106400,D07816
MIM140600,D07816
MIM147530,D07816
MIM150600,D07816
MIM165720,D07816
MIM208230,D07816
MIM308205,D07816
MIM607459,D07816
MIM607850,D07816
MIM304790,D07820
MIM600351,D07820
MIM145590,D07837
MIM157300,D07837
MIM300125,D07837
MIM161900,D07845
MIM179600,D07845
MIM607554,D07845
MIM608583,D07845
MIM608622,D07845
MIM145590,D07867
MIM146255,D07870
MIM161900,D07870
MIM166300,D07870
MIM310468,D07870
MIM137750,D07871
MIM137760,D07871
MIM161900,D07871
MIM601682,D07871
MIM147530,D07874
MIM161900,D07874
MIM179600,D07874
MIM200170,D07874
MIM600082,D07874
MIM608622,D07874
MIM147530,D07875
MIM603165,D07875
MIM146255,D07892
MIM608622,D07892
MIM115000,D07894
MIM114480,D07901
MIM276300,D07901
MIM157300,D07906
MIM300125,D07906
MIM144700,D07907
MIM164230,D07913
MIM161900,D07916
MIM608622,D07916
MIM109350,D07917
MIM190310,D07917
MIM600263,D07917
MIM155100,D07961
MIM231200,D07961
MIM273800,D07961
MIM607554,D07962
MIM157700,D07967
MIM252320,D07967
MIM181500,D07977
MIM144010,D07983
MIM164230,D07984
MIM167870,D07984
MIM114500,D07986
MIM176800,D07986
MIM259500,D07986
MIM208550,D07990
MIM210050,D07990
MIM600807,D07990
MIM217200,D07993
MIM239350,D07993
MIM157300,D07997
MIM146110,D08027
MIM143465,D08031
MIM161900,D08031
MIM608622,D08031
MIM147530,D08045
MIM608088,D08045
MIM147530,D08047
MIM608088,D08047
MIM145590,D08054
MIM147530,D08054
MIM223350,D08062
MIM247640,D08062
MIM601626,D08062
MIM143465,D08070
MIM147530,D08070
MIM167870,D08070
MIM600631,D08070
MIM600808,D08070
MIM114500,D08086
MIM223350,D08086
MIM246470,D08086
MIM276300,D08086
MIM147530,D08098
MIM147530,D08104
MIM308205,D08104
MIM110100,D08106
MIM157700,D08106
MIM161900,D08106
MIM171300,D08106
MIM608622,D08106
MIM131200,D08113
MIM150699,D08113
MIM175510,D08113
MIM176807,D08113
MIM600082,D08113
MIM601518,D08113
MIM604416,D08113
MIM276300,D08114
MIM137750,D08115
MIM155100,D08115
MIM161900,D08115
MIM231200,D08115
MIM273800,D08115
MIM147530,D08116
MIM166760,D08120
MIM208550,D08120
MIM138800,D08125
MIM140300,D08125
MIM255900,D08125
MIM275000,D08125
MIM138800,D08128
MIM140300,D08128
MIM255900,D08128
MIM275000,D08128
MIM143465,D08130
MIM300494,D08130
MIM181500,D08133
MIM145500,D08146
MIM146255,D08146
MIM161900,D08146
MIM608622,D08146
MIM104300,D08174
MIM125320,D08174
MIM605055,D08174
MIM143465,D08187
MIM264120,D08187
MIM303110,D08187
MIM601665,D08187
MIM147530,D08195
MIM106400,D08204
MIM161900,D08205
MIM608622,D08205
MIM115000,D08215
MIM146500,D08220
MIM157700,D08220
MIM252320,D08220
MIM109543,D08224
MIM126200,D08224
MIM147530,D08224
MIM176807,D08224
MIM236000,D08224
MIM247640,D08224
MIM267730,D08224
MIM601626,D08224
MIM146255,D08225
MIM161900,D08225
MIM608622,D08225
MIM208550,D08227
MIM233810,D08227
MIM600807,D08227
MIM208550,D08229
MIM210050,D08229
MIM600807,D08229
MIM208550,D08237
MIM147530,D08246
MIM157300,D08255
MIM157950,D08261
MIM254200,D08261
MIM161900,D08270
MIM608622,D08270
MIM143465,D08288
MIM147530,D08288
MIM167870,D08288
MIM252320,D08288
MIM600631,D08288
MIM600808,D08288
MIM147530,D08305
MIM157300,D08305
MIM160750,D08305
MIM200170,D08305
MIM147530,D08323
MIM168100,D08339
MIM168600,D08339
MIM147530,D08343
MIM264120,D08347
MIM303110,D08347
MIM601665,D08347
MIM171300,D08358
MIM155100,D08362
MIM161900,D08362
MIM171300,D08362
MIM231200,D08362
MIM273800,D08362
MIM608622,D08362
MIM137750,D08365
MIM137760,D08365
MIM145590,D08365
MIM146500,D08365
MIM147540,D08365
MIM601682,D08365
MIM608088,D08365
MIM147540,D08368
MIM264120,D08368
MIM303110,D08368
MIM601665,D08368
MIM608088,D08368
MIM125850,D08378
MIM125851,D08378
MIM125853,D08378
MIM600496,D08378
MIM208550,D08387
MIM600807,D08387
MIM147530,D08411
MIM157950,D08411
MIM161900,D08411
MIM179600,D08411
MIM200170,D08411
MIM600082,D08411
MIM608622,D08411
MIM115000,D08421
MIM607554,D08421
MIM608583,D08421
MIM147530,D08422
MIM125320,D08425
MIM168100,D08425
MIM168600,D08425
MIM607554,D08435
MIM110100,D08443
MIM115000,D08443
MIM140850,D08443
MIM157300,D08443
MIM157700,D08443
MIM161900,D08443
MIM171300,D08443
MIM190300,D08443
MIM300125,D08443
MIM608622,D08443
MIM145590,D08449
MIM208550,D08449
MIM600807,D08449
MIM608088,D08449
MIM217200,D08454
MIM239350,D08454
MIM164230,D08456
MIM181500,D08456
MIM115000,D08458
MIM607554,D08458
MIM608583,D08458
MIM200170,D08460
MIM109350,D08463
MIM190310,D08463
MIM600263,D08463
MIM102500,D08465
MIM114480,D08465
MIM166710,D08465
MIM147530,D08473
MIM102300,D08489
MIM125320,D08489
MIM168100,D08489
MIM168600,D08489
MIM604416,D08509
MIM264120,D08513
MIM303110,D08513
MIM601665,D08513
MIM125850,D08516
MIM125851,D08516
MIM125853,D08516
MIM600496,D08516
MIM114550,D08524
MIM144700,D08524
MIM188470,D08524
MIM605839,D08524
MIM607554,D08525
MIM608583,D08525
MIM104300,D08555
MIM125320,D08555
MIM605055,D08555
MIM147530,D08560
MIM200170,D08560
MIM310468,D08560
MIM600082,D08560
MIM144110,D08569
MIM147530,D08569
MIM157950,D08569
MIM161900,D08569
MIM200170,D08569
MIM600082,D08569
MIM608622,D08569
MIM208550,D08570
MIM210050,D08570
MIM600807,D08570
MIM143100,D08575
MIM217200,D08588
MIM188050,D08594
MIM608320,D08607
MIM157300,D08611
MIM160750,D08611
MIM190400,D08611
MIM200170,D08611
MIM601042,D08611
MIM182280,D08618
MIM276300,D08618
MIM102300,D08623
MIM147530,D08623
MIM181500,D08636
MIM168100,D08638
MIM131300,D08670
MIM143465,D08670
MIM147530,D08670
MIM164230,D08670
MIM167870,D08670
MIM607499,D08670
MIM114480,D08675
MIM148000,D08675
MIM188030,D08675
MIM236000,D08675
MIM254400,D08675
MIM273300,D08675
MIM276300,D08675
MIM109543,D08679
MIM194070,D08679
MIM223350,D08679
MIM236000,D08679
MIM246470,D08679
MIM247640,D08679
MIM254500,D08679
MIM256700,D08679
MIM267730,D08679
MIM268220,D08679
MIM276300,D08679
MIM601608,D08679
MIM601626,D08679
MIM236000,D08680
MIM107320,D08682
MIM125310,D08682
MIM540000,D08682
MIM601367,D08682
MIM607554,D08682
MIM608583,D08682
MIM137580,D08687
MIM181500,D08687
MIM600263,D08875
MIM137580,D10111
MIM145500,D10111
MIM161900,D10111
MIM608622,D10111
MIM191390,D10180
MIM226150,D10180